Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,1.41,1.5,1.54,1.95,2.27,2.63,3.25,2.6,2.44,2.22,2.35,2.21,2.27,2.4,2.37,2.54,2.94,..,..,..
Afghanistan,AFG,"Firms that introduced a new product/service and process, and spent on R&D",IC.FRM.NPRD.ZS,..,..,..,..,..,..,..,..,..,19.54121399,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Firms with a bank loan/line of credit (% of firms),IC.FRM.BNKL.ZS,..,..,..,3.370786428,..,..,..,..,..,5.067226887,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Internally displaced people (IDP) by country or territory of asylum / origin,SM.POP.IDPC,..,..,..,..,297000,352000,450000,492000,631000,805000,1174000,1553000,1286000,2598000,2993000,3547000,4314000,4513000,4187000,..
Afghanistan,AFG,Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,..,-2.052675464,-1.749007047,-2.332848625,0.283261805,1.503123702,-0.630811518,-0.640739779,2.282470716,-1.947435934,-1.280440385,0.675796503,0.355603091,..,..,..,..,..,..,..
Afghanistan,AFG,Net lending (+) / net borrowing (-) (current LCU),GC.NLD.TOTL.CN,..,-7144304205,-8490013502,-12015263561,1732690104,10916152136,-5364088555,-6591893815,25993000000,-22910989521,-15656667973,8264429512,4571136655,..,..,..,..,..,..,..
Afghanistan,AFG,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,3558129883,3536939941,5140459961,5124450195,6568600098,6882540039,7099149902,6966729980,5354040039,5175979980,4815140137,4610850098,4248819824,4073770020,4509450195,4480430176,4690520020,3959649902,..,..
Afghanistan,AFG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,2815100098,2895830078,4540379883,4645399902,5766540039,6235319824,6745740234,6666770020,5152540039,4942970215,4274229980,4069409912,3811739990,3792489990,4136990234,4208899902,4690520020,3893270020,..,..
Afghanistan,AFG,Net official development assistance received (constant 2021 US$),DT.ODA.ODAT.KD,3558129883,3536939941,5140459961,5124450195,6568600098,6882540039,7099149902,6966729980,5354040039,5175979980,4815140137,4610850098,4248819824,4073770020,4509450195,4480430176,4690520020,3959649902,..,..
Afghanistan,AFG,Net official development assistance received (current US$),DT.ODA.ODAT.CD,2815100098,2895830078,4540379883,4645399902,5766540039,6235319824,6745740234,6666770020,5152540039,4942970215,4274229980,4069409912,3811739990,3792489990,4136990234,4208899902,4690520020,3893270020,..,..
Afghanistan,AFG,Prosperity gap (average shortfall from a prosperity standard of $28/day),SI.SPR.PGAP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,..,..,..,..,..,..,..,..,..,..,46.1,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,0.638052705,0.620096826,0.650601941,0.759633997,0.839696905,0.952372905,1.056869586,0.945457063,0.861861781,0.836169269,0.810135114,0.767536895,0.775923966,0.749891701,0.712772447,0.682032157,0.691070382,0.705148264,0.710656612,..
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.505047977,-0.508157313,-0.203974649,-0.030500913,-0.045140512,-0.191482902,-0.282379419,-0.143631592,0.091929786,0.485986233,0.341639042,0.337447882,0.373770744,0.366779268,0.110105053,0.088612519,0.196371928,0.106261313,0.183348969,..
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,5,6,6,6,6,6,7,8,8,8,8,8,8,8,7,6,6,6,6,..
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,29.61165047,29.95169067,37.68115997,43.26922989,42.18009567,38.3886261,37.44075775,40.28435898,49.28910065,61.42856979,58.09523773,57.61904907,59.52381134,58.49056625,51.88679123,50,52.35848999,49.52830124,51.6587677,..
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,18.44660187,17.87439537,24.63768196,29.80769157,28.90995216,25.59241676,24.64455032,29.85782051,36.4928894,52.38095093,46.66666794,47.1428566,46.66666794,48.11320877,37.26415253,35.84905624,40.56603622,35.84905624,40.28435898,..
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,45.63106918,42.99517059,50.72463608,57.69230652,57.34597015,52.13270187,50.23696518,53.55450058,62.55924225,74.2857132,67.14286041,69.04762268,70.47618866,69.3396225,60.84905624,60.84905624,63.679245,60.84905624,63.5071106,..
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.300349623,0.273782998,0.26269111,0.26359117,0.264739305,0.260473907,0.250866294,0.221984327,0.228019789,0.196386188,0.201144516,0.206087306,0.213935971,0.212329432,0.229536057,0.232480288,0.234710082,0.23304978,0.227244794,..
Albania,ALB,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.377558661,1.381665852,1.429082729,1.423194135,1.460144238,1.564321026,1.716993179,1.562852861,1.647374246,1.763799434,1.688303168,1.575153307,1.858910713,1.850978378,1.73551805,1.607132726,1.792282583,1.659293031,1.672194764,..
Albania,ALB,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,3.4,3.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS,..,..,..,..,..,83.85,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS,..,..,..,..,..,84.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,..,..,..,..,..,83.65,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,..,..,..,..,..,1.26,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,..,..,..,..,..,1.36,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,..,..,..,..,..,1.19,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,..,..,..,..,..,9.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,..,..,..,..,..,11.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,..,..,..,..,..,8.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,4,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,4.5,4.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.66,3.38,3.04,2.94,2.91,2.78,2.83,2.51,2.89,2.86,2.62,2.61,2.64,2.53,2.45,2.34,2.27,2.06,..,..
Albania,ALB,"Firms that introduced a new product/service and process, and spent on R&D",IC.FRM.NPRD.ZS,..,..,..,..,..,..,..,..,1.131741166,..,..,..,..,..,1.689875841,..,..,..,..,..
Albania,ALB,Firms with a bank loan/line of credit (% of firms),IC.FRM.BNKL.ZS,..,..,42.22799683,..,..,..,..,..,29.41556931,..,..,..,..,..,37.79881287,..,..,..,..,..
Albania,ALB,Internally displaced people (IDP) by country or territory of asylum / origin,SM.POP.IDPC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,..,..,..,..,..,..,-3.875979462,-3.930303364,-5.317164584,-3.127912427,-3.006364961,-2.503952631,-1.440259369,-1.251287095,-1.418998713,-6.041903857,-0.159586015,-6.116768505,-1.401361083,..
Albania,ALB,Net lending (+) / net borrowing (-) (current LCU),GC.NLD.TOTL.CN,..,..,..,..,..,..,-50736490000,-52071700000,-71901190000,-43868850000,-43436020000,-37266410000,-22742499000,-20781630000,-24293790000,-1.00053E+11,-2978950000,-1.31495E+11,-33210940000,..
Albania,ALB,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,376950012.2,379500000,280700012.2,337089996.3,330420013.4,374500000,366529998.8,355929992.7,270029998.8,276619995.1,350850006.1,189820007.3,185070007.3,365630004.9,29399999.62,326519989,633419982.9,338769989,..,..
Albania,ALB,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,315079986.6,324040008.5,265720001.2,344910003.7,330730011,365070007.3,379480011,349160003.7,269980011,281170013.4,335160003.7,171039993.3,168350006.1,344519989,27069999.69,309579986.6,633419982.9,315510009.8,..,..
Albania,ALB,Net official development assistance received (constant 2021 US$),DT.ODA.ODAT.KD,376950012.2,379500000,280700012.2,337089996.3,330420013.4,374500000,366529998.8,355929992.7,270029998.8,276619995.1,350850006.1,189820007.3,185070007.3,365630004.9,29399999.62,326519989,633419982.9,338769989,..,..
Albania,ALB,Net official development assistance received (current US$),DT.ODA.ODAT.CD,315079986.6,324040008.5,265720001.2,344910003.7,330730011,365070007.3,379480011,349160003.7,269980011,281170013.4,335160003.7,171039993.3,168350006.1,344519989,27069999.69,309579986.6,633419982.9,315510009.8,..,..
Albania,ALB,Prosperity gap (average shortfall from a prosperity standard of $28/day),SI.SPR.PGAP,3.9,..,..,3.5,..,..,..,3.6,..,3.8,3,3,3,2.7,2.6,2.5,..,..,..,..
Albania,ALB,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,0.087569997,0.154119998,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.648990349,2.680893567,2.685843212,2.633414696,2.6440819,2.762836245,2.918633689,2.81319721,2.909924797,3.080436011,3.033946922,2.905496017,3.189224687,3.193160981,3.01962973,2.807548957,2.985880969,2.812409885,2.794529587,..
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.91366601,-1.126413465,-1.150585532,-1.095846295,-1.196913481,-1.259367585,-1.360560656,-1.325043321,-1.202371478,-1.190535188,-1.090786576,-1.099741936,-0.919614315,-0.842107713,-1.055853844,-0.847820401,-0.992457151,-0.650652349,-0.57788527,..
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,6,6,6,..
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,20.38834953,15.942029,14.00966167,14.90384579,13.27014256,11.84834099,10.42654037,9.478672981,12.79620838,9.523809433,11.90476227,12.38095284,15.71428585,17.92452812,13.20754719,17.92452812,15.56603813,22.64151001,23.22274971,..
Algeria,DZA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,10.67961121,8.212560654,8.695652008,9.615385056,7.582938194,4.739336491,5.213270187,5.687203884,7.582938194,8.095237732,9.047618866,8.571428299,9.523809433,11.320755,8.490566254,11.320755,10.37735844,13.20754719,14.21800995,..
Algeria,DZA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,32.52427292,25.12077332,22.22222137,23.55769157,19.9052124,19.9052124,18.48341179,18.00947952,19.9052124,17.1428566,21.4285717,20,27.1428566,28.77358437,22.64151001,28.30188751,24.05660439,35.84905624,39.8104248,..
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.278116137,0.252854288,0.244294539,0.246047765,0.246055126,0.243547097,0.244249582,0.226807356,0.23150824,0.200113058,0.204930633,0.210856497,0.219212338,0.21726504,0.234926254,0.237624839,0.234710082,0.23304978,0.227244794,..
Algeria,DZA,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.062497733,3.137715621,3.185550171,3.265718682,3.270894462,3.277714338,3.381668929,3.725741952,3.792954428,3.953849699,4.119541237,3.940941459,3.995063577,4.113293872,4.195662428,3.90292777,4.015587285,4.104114245,3.906869951,..
Algeria,DZA,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.96,4.17,4.29,4.24,4.56,4.49,4.54,4.81,4.84,5.09,5.14,4.94,5.01,5.27,5.4,5.4,5.61,..,..,..
Algeria,DZA,"Firms that introduced a new product/service and process, and spent on R&D",IC.FRM.NPRD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Firms with a bank loan/line of credit (% of firms),IC.FRM.BNKL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Internally displaced people (IDP) by country or territory of asylum / origin,SM.POP.IDPC,..,..,..,..,..,..,..,..,..,..,..,2500,..,..,..,..,..,..,..,..
Algeria,DZA,Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Net lending (+) / net borrowing (-) (current LCU),GC.NLD.TOTL.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,409440002.4,271690002.4,403190002.4,309769989,289829986.6,205490005.5,189639999.4,152899993.9,205179992.7,157050003.1,80559997.56,164979995.7,195089996.3,153720001.2,189529998.8,222000000,214449996.9,232929992.7,..,..
Algeria,DZA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,347380004.9,240679992.7,395010009.8,324829986.6,292170013.4,201250000,193350006.1,147320007.3,203419998.2,160619995.1,71129997.25,144539993.3,174649993.9,144610000.6,172000000,209850006.1,214449996.9,214990005.5,..,..
Algeria,DZA,Net official development assistance received (constant 2021 US$),DT.ODA.ODAT.KD,409440002.4,271690002.4,403190002.4,309769989,289829986.6,205490005.5,189639999.4,152899993.9,205179992.7,157050003.1,80559997.56,164979995.7,195089996.3,153720001.2,189529998.8,222000000,214449996.9,232929992.7,..,..
Algeria,DZA,Net official development assistance received (current US$),DT.ODA.ODAT.CD,347380004.9,240679992.7,395010009.8,324829986.6,292170013.4,201250000,193350006.1,147320007.3,203419998.2,160619995.1,71129997.25,144539993.3,174649993.9,144610000.6,172000000,209850006.1,214449996.9,214990005.5,..,..
Algeria,DZA,Prosperity gap (average shortfall from a prosperity standard of $28/day),SI.SPR.PGAP,..,..,..,..,..,..,3.4,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.063670002,..,..,..,..,..,..,..,..,..,..,..,0.478650004,..,..,..,..,..,..,..
Algeria,DZA,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,4.968049864,5.140451445,5.049144449,5.192038444,4.986204033,5.109958938,5.192841977,5.523802875,5.543305881,5.761666149,5.901708638,5.730743406,5.737009394,5.832327864,5.876130448,5.475035234,5.673357126,5.787845472,5.562578672,..
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.746284068,0.703987658,0.967931151,0.984463036,0.945724666,0.919146717,0.93399018,0.95299083,0.928985775,1.08068347,1.151678085,1.158555984,1.184323668,1.166297317,1.144933939,1.09020865,1.066840887,1.123173952,1.114221215,..
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,..
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,68.44660187,68.11594391,80.1932373,80.7692337,82.46445465,80.0947876,74.40758514,78.67298889,76.7772522,89.04762268,90.95237732,91.42857361,91.90476227,91.03773499,90.56604004,87.73584747,87.73584747,91.03773499,91.94313049,..
American Samoa,ASM,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,46.60194016,46.37681198,54.58937073,55.28845978,54.02843475,54.02843475,54.9763031,58.76777267,57.34597015,66.19047546,66.19047546,65.7142868,66.66666412,66.98113251,66.98113251,64.62264252,61.79245377,59.90565872,60.66350555,..
American Samoa,ASM,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,99.51456451,98.55072784,100,100,100,99.52606964,99.52606964,99.52606964,99.52606964,99.52381134,99.52381134,99.52381134,99.52381134,99.52830505,99.52830505,99.05660248,99.05660248,100,100,..
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.443682581,0.423959523,0.382787049,0.383233666,0.370833457,0.393404156,0.411335081,0.344925016,0.393689394,0.291474074,0.304494768,0.316129863,0.344771415,0.314478159,0.315675259,0.319777638,0.336745977,0.402260721,0.398108959,..
American Samoa,ASM,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.001766254,0.001773867,0.001782118,0.001791216,0.001800893,0.001810676,0.00182166,0.001835233,0.001851646,0.001870348,0.001891146,0.001914059,0.00193851,0.001964328,0.001991675,0.002009606,0.002031488,0.002068595,0.002104333,..
American Samoa,ASM,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
